Emp_no,Employee_Number,Attrition,Business_Travel,Age,CF_age_band,CF_attrition_label,Department,Education_Field,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,CF_current_Employee,Distance_From_Home,Education_level,Environment_Satisfaction,Daily_Rate,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Standard_Hours2,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
STAFF-1,1,Yes,Rarely,41,35 - 44,Ex-Employees,Sales,Life Sciences,Female,Sales Executive,Single,Yes,Y,0,0,1,Associates Degree,2,1102,94,3,2,4,5993,19479,8,11,3,1,50,54,0,8,1,6,4,0,5
STAFF-2,2,No,Frequently,49,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,3,1,8,High School,3,279,61,2,2,2,5130,24907,1,23,4,4,65,65,1,10,3,10,7,1,7
STAFF-4,4,Yes,Rarely,37,35 - 44,Ex-Employees,R&D,Other,Male,Laboratory Technician,Single,Yes,Y,3,0,2,Associates Degree,4,1373,92,2,1,3,2090,2396,6,15,3,2,70,81,0,7,3,0,0,0,0
STAFF-5,5,No,Frequently,33,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Married,Yes,Y,3,1,3,Master's Degree,4,1392,56,3,1,3,2909,23159,1,11,3,3,85,79,0,8,3,8,7,3,0
STAFF-7,7,No,Rarely,27,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,3,1,2,High School,1,591,40,3,1,2,3468,16632,9,12,3,4,55,35,1,6,3,2,2,2,2
STAFF-8,8,No,Frequently,32,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,2,1,2,Associates Degree,4,1005,79,3,1,4,3068,11864,0,13,3,3,80,54,0,8,2,7,7,3,6
STAFF-10,10,No,Rarely,59,Over 55,Current Employees,R&D,Medical,Female,Laboratory Technician,Married,Yes,Y,3,1,3,Bachelor's Degree,3,1324,81,4,1,1,2670,9964,4,20,4,1,70,51,3,12,2,1,0,0,0
STAFF-11,11,No,Rarely,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,Y,2,1,24,High School,4,1358,67,3,1,3,2693,13335,1,22,4,2,65,32,1,1,3,1,0,0,0
STAFF-12,12,No,Frequently,38,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,2,1,23,Bachelor's Degree,4,216,44,2,3,3,9526,8787,0,21,4,2,80,40,0,10,3,9,7,1,8
STAFF-13,13,No,Rarely,36,35 - 44,Current Employees,R&D,Medical,Male,Healthcare Representative,Married,No,Y,3,1,27,Bachelor's Degree,3,1299,94,3,2,3,5237,16577,6,13,3,2,65,39,2,17,2,7,7,7,7
STAFF-14,14,No,Rarely,35,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,5,1,16,Bachelor's Degree,1,809,84,4,1,2,2426,16479,0,13,3,3,70,52,1,6,3,5,4,0,3
STAFF-15,15,No,Rarely,29,25 - 34,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Single,Yes,Y,3,1,15,Associates Degree,4,153,49,2,2,3,4193,12682,0,12,3,4,70,43,0,10,3,9,5,0,8
STAFF-16,16,No,Rarely,31,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,1,1,26,High School,1,670,31,3,1,3,2911,15170,1,17,3,4,70,63,1,5,2,5,2,4,3
STAFF-18,18,No,Rarely,34,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,2,1,19,Associates Degree,2,1346,93,3,1,4,2661,8758,0,11,3,3,70,42,1,3,3,2,2,1,2
STAFF-19,19,Yes,Rarely,28,25 - 34,Ex-Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,Yes,Y,4,0,24,Bachelor's Degree,3,103,50,2,1,3,2028,12947,5,14,3,2,80,53,0,6,3,4,2,0,3
STAFF-20,20,No,Rarely,29,25 - 34,Current Employees,R&D,Life Sciences,Female,Manufacturing Director,Divorced,No,Y,1,1,21,Master's Degree,2,1389,51,4,3,1,9980,10195,1,11,3,3,70,89,1,10,3,10,9,8,8
STAFF-21,21,No,Rarely,32,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,Yes,Y,5,1,5,Associates Degree,1,334,80,4,1,2,3298,15053,0,12,3,4,55,87,2,7,2,6,2,0,5
STAFF-22,22,No,No,22,Under 25,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,Yes,Y,2,1,16,Associates Degree,4,1123,96,4,1,4,2935,7324,1,13,3,2,65,70,2,1,2,1,0,0,0
STAFF-23,23,No,Rarely,53,45 - 54,Current Employees,Sales,Life Sciences,Female,Manager,Married,No,Y,3,1,2,Master's Degree,1,1219,78,2,4,4,15427,22021,2,16,3,3,60,76,0,31,3,25,8,3,7
STAFF-24,24,No,Rarely,38,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,Yes,Y,3,1,2,Bachelor's Degree,4,371,45,3,1,4,3944,4306,5,11,3,3,55,72,0,6,3,3,2,1,2
STAFF-26,26,No,No,24,Under 25,Current Employees,R&D,Other,Female,Manufacturing Director,Divorced,No,Y,5,1,11,Associates Degree,1,673,96,4,2,3,4011,8232,0,18,3,4,60,34,1,5,2,4,2,1,3
STAFF-27,27,Yes,Rarely,36,35 - 44,Ex-Employees,Sales,Life Sciences,Male,Sales Representative,Single,No,Y,4,0,9,Master's Degree,3,1218,82,2,1,1,3407,6986,7,23,4,2,65,74,0,10,3,5,3,0,3
STAFF-28,28,No,Rarely,34,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Director,Single,No,Y,4,1,7,Master's Degree,1,419,53,3,3,2,11994,21293,0,11,3,3,55,56,0,13,3,12,6,2,11
STAFF-30,30,No,Rarely,21,Under 25,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,6,1,15,Associates Degree,3,391,96,3,1,4,1232,19281,1,14,3,4,50,59,0,0,3,0,0,0,0
STAFF-31,31,Yes,Rarely,34,25 - 34,Ex-Employees,R&D,Medical,Male,Research Scientist,Single,No,Y,2,0,6,High School,2,699,83,3,1,1,2960,17102,2,11,3,3,70,33,0,8,3,4,2,1,3
STAFF-32,32,No,Rarely,53,45 - 54,Current Employees,R&D,Other,Female,Manager,Divorced,No,Y,3,1,5,Bachelor's Degree,3,1282,58,3,5,3,19094,10735,4,11,3,4,65,51,1,26,2,14,13,4,8
STAFF-33,33,Yes,Frequently,32,25 - 34,Ex-Employees,R&D,Life Sciences,Female,Research Scientist,Single,Yes,Y,5,0,16,High School,2,1125,72,1,1,1,3919,4681,1,22,4,2,60,89,0,10,3,10,2,6,7
STAFF-35,35,No,Rarely,42,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,2,1,8,Master's Degree,3,691,48,3,2,2,6825,21173,0,11,3,4,80,75,1,10,3,9,7,4,2
STAFF-36,36,No,Rarely,44,35 - 44,Current Employees,R&D,Medical,Female,Healthcare Representative,Married,No,Y,4,1,7,Master's Degree,1,477,42,2,3,4,10248,2094,3,14,3,4,50,87,1,24,3,22,6,5,17
STAFF-38,38,No,Rarely,46,45 - 54,Current Employees,Sales,Marketing,Female,Manager,Single,No,Y,2,1,2,Master's Degree,2,705,83,3,5,1,18947,22822,3,12,3,4,50,38,0,22,2,2,2,2,1
STAFF-39,39,No,Rarely,33,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Single,No,Y,3,1,2,Bachelor's Degree,3,924,78,3,1,4,2496,6670,4,11,3,4,60,87,0,7,3,1,1,0,0
STAFF-40,40,No,Rarely,44,35 - 44,Current Employees,R&D,Other,Male,Healthcare Representative,Married,Yes,Y,5,1,10,Master's Degree,4,1459,41,3,2,4,6465,19121,2,13,3,4,55,46,0,9,4,4,2,1,3
STAFF-41,41,No,Rarely,30,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Single,No,Y,5,1,9,Associates Degree,4,125,83,2,1,3,2206,16117,1,13,3,1,85,50,0,10,3,10,0,1,8
STAFF-42,42,Yes,Rarely,39,35 - 44,Ex-Employees,Sales,Technical Degree,Male,Sales Representative,Married,No,Y,6,0,5,Bachelor's Degree,4,895,56,3,2,4,2086,3335,3,14,3,3,60,54,1,19,4,1,0,0,0
STAFF-45,45,Yes,Rarely,24,Under 25,Ex-Employees,R&D,Medical,Male,Research Scientist,Married,Yes,Y,2,0,1,Bachelor's Degree,2,813,61,3,1,4,2293,3020,2,16,3,1,70,52,1,6,2,2,0,2,0
STAFF-46,46,No,Rarely,43,35 - 44,Current Employees,R&D,Medical,Female,Research Scientist,Divorced,No,Y,3,1,2,Associates Degree,4,1273,72,4,1,3,2645,21923,1,12,3,4,65,39,2,6,2,5,3,1,4
STAFF-47,47,Yes,Rarely,50,45 - 54,Ex-Employees,Sales,Marketing,Male,Sales Representative,Married,Yes,Y,2,0,3,Associates Degree,1,869,86,2,1,3,2683,3810,1,14,3,3,55,56,0,3,3,3,2,0,2
STAFF-49,49,No,Rarely,35,35 - 44,Current Employees,Sales,Marketing,Female,Sales Representative,Married,No,Y,3,1,2,Bachelor's Degree,4,890,97,3,1,4,2014,9687,1,13,3,1,65,30,0,2,3,2,2,2,2
STAFF-51,51,No,Rarely,36,35 - 44,Current Employees,R&D,Life Sciences,Female,Research Scientist,Married,Yes,Y,3,1,5,Master's Degree,2,852,82,2,1,1,3419,13072,9,14,3,4,70,69,1,6,4,1,1,0,0
STAFF-52,52,No,Frequently,33,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,3,1,1,Bachelor's Degree,3,1141,42,4,2,1,5376,3193,2,19,3,1,60,53,2,10,3,5,3,1,3
STAFF-53,53,No,Rarely,35,35 - 44,Current Employees,R&D,Other,Male,Laboratory Technician,Divorced,No,Y,3,1,4,Associates Degree,3,464,75,3,1,4,1951,10910,1,12,3,3,65,33,1,1,3,1,0,0,0
STAFF-54,54,No,Rarely,27,25 - 34,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,Y,6,1,2,Master's Degree,4,1240,33,3,1,1,2341,19715,1,13,3,4,85,73,1,1,3,1,0,0,0
STAFF-55,55,Yes,Rarely,26,25 - 34,Ex-Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,2,0,25,Bachelor's Degree,1,1357,48,1,1,3,2293,10558,1,12,3,3,60,86,0,1,2,1,0,0,1
STAFF-56,56,No,Frequently,27,25 - 34,Current Employees,Sales,Life Sciences,Male,Sales Executive,Single,No,Y,0,1,8,Bachelor's Degree,4,994,37,3,3,3,8726,2975,1,15,3,4,70,68,0,9,3,9,8,1,7
STAFF-57,57,No,Frequently,30,25 - 34,Current Employees,R&D,Medical,Female,Laboratory Technician,Single,No,Y,2,1,1,Associates Degree,3,721,58,3,2,4,4011,10781,1,23,4,4,75,56,0,12,3,12,8,3,7
STAFF-58,58,Yes,Rarely,41,35 - 44,Ex-Employees,R&D,Technical Degree,Female,Research Director,Married,No,Y,0,0,12,Bachelor's Degree,2,1360,49,3,5,3,19545,16280,1,12,3,4,50,63,0,23,3,22,15,15,8
